"filename", "language", "JavaScript", "PHP", "JSON", "XML", "CSS", "Markdown", "HTML", "SQL", "YAML", "comment", "blank", "total"
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\it.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 5
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\ja.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 5
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\ka.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 5
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\km.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 5
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\ko.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 5
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\ku.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 5
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\lt.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 5
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\lv.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 5
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\mk.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 5
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\mn.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 5
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\ms.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 5
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\nb.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 5
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\nl.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 5
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\no.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 5
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\oc.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 5
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\pl.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 5
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\pt-br.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 5
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\pt.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 5
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\ro.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 5
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\ru.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 5
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\si.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 5
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\sk.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 5
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\sl.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 5
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\sq.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 5
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\sr-latn.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 5
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\sr.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 5
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\sv.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 5
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\th.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 5
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\tr.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 5
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\tt.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 5
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\ug.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 5
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\uk.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 5
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\vi.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 5
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\zh-cn.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 5
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\lang\zh.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 5
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\a11yhelp.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 10
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\af.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 11
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\ar.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 11
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\az.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 11
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\bg.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 11
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\ca.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 13
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\cs.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 12
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\cy.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 11
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\da.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 11
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\de-ch.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 13
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\de.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 13
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\el.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 13
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\en-au.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 11
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\en-gb.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 11
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\en.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 11
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\eo.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 13
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\es-mx.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 13
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\es.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 13
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\et.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 11
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\eu.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 12
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\fa.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 11
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\fi.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 11
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\fo.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 11
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\fr-ca.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 11
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\fr.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 13
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\gl.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 12
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\gu.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 11
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\he.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 11
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\hi.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 11
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\hr.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 11
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\hu.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 12
"c:\xampp\htdocs\shopbanhanglaravel\public\backend\ckeditor\plugins\a11yhelp\dialogs\lang\id.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 11
