"filename", "language", "CSS", "PHP", "Markdown", "JavaScript", "XML", "HTML", "JSON", "YAML", "SQL", "comment", "blank", "total"
"c:\xampp\htdocs\shopbanhanglaravel\resources\js\app.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\xampp\htdocs\shopbanhanglaravel\resources\js\bootstrap.js", "JavaScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 19, 8, 32
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\admin\add_brand_product.blade.php", "PHP", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 4, 49
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\admin\add_category_product.blade.php", "PHP", 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 4, 62
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\admin\add_product.blade.php", "PHP", 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 4, 85
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\admin\all_brand_product.blade.php", "PHP", 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\admin\all_category_product.blade.php", "PHP", 0, 110, 0, 0, 0, 0, 0, 0, 0, 0, 3, 113
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\admin\all_product.blade.php", "PHP", 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 89
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\admin\category_post\add_category_post.blade.php", "PHP", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 4, 49
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\admin\category_post\edit_category_post.blade.php", "PHP", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 4, 55
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\admin\category_post\list_category_post.blade.php", "PHP", 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 3, 84
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\admin\comment\list_comment.blade.php", "PHP", 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 3, 89
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\admin\coupon\insert_coupon.blade.php", "PHP", 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 4, 61
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\admin\coupon\list_coupon.blade.php", "PHP", 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 8, 85
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\admin\custom_auth\login.blade.php", "PHP", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 6, 74
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\admin\custom_auth\register.blade.php", "PHP", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 4, 71
